"Response ID","Time Started","Date Submitted","Status","q1_screening_class_action_5years","q2_new_regulations","q3_supreme_court_pro_class:q_item_","q4_legal_fees:q_item_","q5_file_dismissal_legal_fees:q_item_","q6_class_amount:q_item_","q7_attorney_general_position:q_item_","q8_defend_public:q_item_","גיל רון קינן ושות':q9_prosecutors","אייל גולדנברג:q9_prosecutors","שפירא בר אור מצקין:q9_prosecutors","שפיגלמן:q9_prosecutors","אבי רוקח:q9_prosecutors","בך - לדרמן:q9_prosecutors","גורודיסקי:q9_prosecutors","גרימברג - ורד:q9_prosecutors","ואנונו - זקבך:q9_prosecutors","מוסקוביץ – אזרואל:q9_prosecutors","יצחק אבירם:q9_prosecutors","קלעי רוזן:q9_prosecutors","אסף פינק:q9_prosecutors","רונן עדיני:q9_prosecutors","טנוס והאני ניזאר:q9_prosecutors","מסאלחה אחמד:q9_prosecutors","יוחי גבע:q9_prosecutors","פדלון&לופו:q9_prosecutors","גולן נפתלי:q9_prosecutors","מאור בן דוד:q9_prosecutors","שקד דדוש:q9_prosecutors","אורלי בן עמי:q9_prosecutors","זילברברג מלין:q9_prosecutors","לירון פרמינגר:q9_prosecutors","יונתן רפפורט:q9_prosecutors","אנגור דוד:q9_prosecutors","אמיר ישראלי:q9_prosecutors","רענן בשן:q9_prosecutors","איתי ליבנה:q9_prosecutors","פירט וילנסקי:q9_prosecutors","אסף שילה:q9_prosecutors","חן שטיין:q9_prosecutors","דוד מזרחי:q9_prosecutors","דן אשכנזי:q9_prosecutors","חן שטיין:q9_prosecutors","חן יערי רוזן עם גלעד ברנע:q9_prosecutors","אורי ברעם:q9_prosecutors","עובדיה כהן:q9_prosecutors","רם דקל:q9_prosecutors","שמש מנור:q9_prosecutors","אחר, פרט::q9_prosecutors","אחר, פרט::q9_prosecutors","הרצוג פוקס נאמן:q10_defendant","מיתר ליקוורניק:q10_defendant","גולדפרב זליגמן:q10_defendant","שבלת עם ראבד מגריזו:q10_defendant","פישר בכר חן וול אוריון:q10_defendant","מ.פירון:q10_defendant","גורנציקי:q10_defendant","יגאל ארנון:q10_defendant","נשיץ ברנדס אמיר:q10_defendant","ש.הורוביץ:q10_defendant","גרוס קלינדהנדלר:q10_defendant","פרל כהן לצר צדק ברץ:q10_defendant","עמית פולק מטלון:q10_defendant","עמר רייטר זאן:q10_defendant","ארדינסט בן נתן טולידנו ושות:q10_defendant","זיסמן אהרוני גייר:q10_defendant","בלטר גוט אלוני:q10_defendant","תדמור ושות פרופ' יובל לוי ושת:q10_defendant","אגמון ושות רוזנברג הכהן ושות:q10_defendant","דורון טיקוצקי קנטור:q10_defendant","ברנע:q10_defendant","ליפא מאיר:q10_defendant","ש.פרידמן:q10_defendant","יהודה רווה:q10_defendant","וקסלר ברגמן:q10_defendant","לויתן שרון:q10_defendant","יוסי לוי:q10_defendant","הררי טויסטר:q10_defendant","חיים פרוכרטר:q10_defendant","אליאס בן אריה:q10_defendant","בועז בן צור:q10_defendant","בן ארי פיש:q10_defendant","איתן מהולל שדות:q10_defendant","ברקמן וקלסר בלום:q10_defendant","רון גזית רוטנברג:q10_defendant","ויינברגר ברטנטל:q10_defendant","אחר, פרט::q10_defendant","אחר, פרט::q10_defendant","q11_judge_support","q12_judge_opposed","q13_new_law","אחר, פרט::q13_new_law","q14_court","צרכנות:q15_subject_profit","ביטוח:q15_subject_profit","בנקאות:q15_subject_profit","הגבלים עסקיים:q15_subject_profit","ניירות ערך:q15_subject_profit","מפגעים סביבתיים:q15_subject_profit","חוק איסור אפליה:q15_subject_profit","נגישות לאנשים עם מוגבלות:q15_subject_profit","דיני עבודה:q15_subject_profit","תביעות נגד רשויות:q15_subject_profit","חוק הספאם:q15_subject_profit","q16_favourable_end","q17_manage_suit","q18_representation","q19_unjustified_specify","city","status","אחר::status"
"15","2019-01-14 08:24:13","14/01/2019 3:24:23 pm","Partial","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","2019-01-14 08:24:06","14/01/2019 3:27:26 pm","Partial","1","2","3","3","3","3","2","5","","","","","","","גורודיסקי","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","2019-01-14 08:24:46","14/01/2019 3:30:07 pm","Partial","1","2","2","3","2","2","4","5","גיל רון קינן ושות'","","","","","","גורודיסקי","","","","יצחק אבירם","","","","","","","","","","","","","","","","","","","","","","","","","","","","רם דקל","שמש מנור","","","הרצוג פוקס נאמן","","","","פישר בכר חן וול אוריון","","גורנציקי","יגאל ארנון","","","","","","","","","","","","","","","","","וקסלר ברגמן","","","","","","","","","","","","","","מנחם רניאל","צבי ויצמן","privacy","","מחוזי ת""א","","","בנקאות","","","מפגעים סביבתיים","","","","","","legal_mediation","single_office","prosecutors","","תל אביב -יפו","owner",""
"18","2019-01-14 08:25:09","14/01/2019 3:29:31 pm","Partial","1","3","2","1","4","3","3","3","","","","","","","","","","","","","","","","","יוחי גבע","","","","","","","","","","אמיר ישראלי","","","","אסף שילה","","","","חן שטיין","","","","","","","","","","","","פישר בכר חן וול אוריון","","","יגאל ארנון","","","","","","","","","","","","","","","","","","לויתן שרון","","","","","","","","","","","","","מיכל נד''ב","אסתר שטמר","","","","","","","","","","","","","","","","","","","","",""
"19","2019-01-14 08:25:12","14/01/2019 3:25:25 pm","Partial","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","2019-01-14 08:25:01","14/01/2019 3:26:12 pm","Partial","1","1","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","2019-01-14 08:25:28","14/01/2019 3:31:22 pm","Complete","1","1","2","3","4","3","3","5","גיל רון קינן ושות'","","","","","בך - לדרמן","","","","","","","","","","","","","","","","","","","יונתן רפפורט","","אמיר ישראלי","","","","","","","","","","","","","שמש מנור","","","","","","","","","","יגאל ארנון","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","שושנה אלמגור","עידית ברקוביץ","education","","מחוזי ת""א","צרכנות","","","","","","","","","","חוק הספאם","legal_mediation","single_office","prosecutors","א","רמת גן","owner",""
"22","2019-01-14 08:26:11","14/01/2019 3:34:54 pm","Partial","1","1","3","4","2","2","2","5","","","","","","","","","","","","","","רונן עדיני","","","","","","","","","","","","","","","","","","","","","","","","","רם דקל","","","","","מיתר ליקוורניק","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","צילה צפת","אסתר נחליאלי חיאט","","","","","","","","","","","","","","","","","","","","",""
"23","2019-01-14 08:27:12","14/01/2019 3:37:25 pm","Complete","1","1","3","3","4","4","3","4","גיל רון קינן ושות'","","","","","","","","","","","","","","טנוס והאני ניזאר","מסאלחה אחמד","","","גולן נפתלי","","","","","","","","אמיר ישראלי","","","","","","","","","","","","","","","","","","גולדפרב זליגמן","שבלת עם ראבד מגריזו","","מ.פירון","","","","","","","","","","","","","","","","","","","","","","","חיים פרוכרטר","","","","איתן מהולל שדות","","","","","","שושנה אלמגור","צילה צפת","education","","מחוזי מרכז","צרכנות","ביטוח","","","","","","","","","","legal_mediation","no_preference","both","הכל יחסי ותלוי באיזה צד מן המתרס אתה נמצא!","עפולה","owner",""
"24","2019-01-14 08:28:11","14/01/2019 3:28:53 pm","Partial","1","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","2019-01-14 08:28:37","14/01/2019 3:33:01 pm","Complete","1","5","3","4","4","3","5","3","","","","","","","","גרימברג - ורד","ואנונו - זקבך","מוסקוביץ – אזרואל","","קלעי רוזן","אסף פינק","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","פישר בכר חן וול אוריון","","","","","","","","עמית פולק מטלון","","","זיסמן אהרוני גייר","","","","","","","","","","","","הררי טויסטר","","אליאס בן אריה","","","","","","","","","מיכל נד''ב","רחמים כהן","education","","מחוזי מרכז","","","","","","מפגעים סביבתיים","","נגישות לאנשים עם מוגבלות","","","","settlement","coop_office","defendents","תביעה שמוגשת מבלי שנבדקו העובדות לגופן","רמת גן","employed",""
"27","2019-01-14 08:29:36","14/01/2019 3:31:30 pm","Partial","1","2","4","4","4","3","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28","2019-01-14 08:31:09","14/01/2019 3:31:22 pm","Partial","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29","2019-01-14 08:30:04","14/01/2019 3:35:40 pm","Complete","1","4","4","3","3","2","2","4","","","","","","","","","","","יצחק אבירם","","","","","","","","","","","","","","","","","","","","","","","","","","","","רם דקל","","","","","","","שבלת עם ראבד מגריזו","פישר בכר חן וול אוריון","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","תמר בזק רפפורט","אסתר נחליאלי חיאט","internet","","מחוזי י-ם","צרכנות","","","","","","","","","תביעות נגד רשויות","","legal_mediation","single_office","defendents","רוב התביעות שמוגשות....","תל אביב","partner",""
"30","2019-01-14 08:33:40","17/01/2019 3:05:03 pm","Partial","1","1","3","2","5","3","3","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31","2019-01-14 08:33:49","18/01/2019 12:32:10 am","Partial","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32","2019-01-14 08:34:24","14/01/2019 3:45:13 pm","Complete","1","2","3","2","4","3","3","4","גיל רון קינן ושות'","","","","","","","","","","","","אסף פינק","","","","","","","","","אורלי בן עמי","","","","","","","","","","","דוד מזרחי","","","","אורי ברעם","","","","","","","","גולדפרב זליגמן","","פישר בכר חן וול אוריון","","","יגאל ארנון","","ש.הורוביץ","","","","","ארדינסט בן נתן טולידנו ושות","","","","","","","","","","","","","","","","","","","","","","","","שושנה אלמגור","מיכל עמית - אניסמן","privacy","","מחוזי מרכז","","","","הגבלים עסקיים","","","","","דיני עבודה","","","settlement","coop_office","prosecutors","תובענה על סכום נמוך, שלא מביאה תועלת לקבוצה ואין בה פיצוי או הרתעה","תל אביב","partner",""
"33","2019-01-14 08:34:37","14/01/2019 3:36:27 pm","Partial","1","2","4","3","4","3","3","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34","2019-01-14 08:34:39","14/01/2019 3:46:11 pm","Complete","1","1","3","4","4","5","5","5","","","","","","בך - לדרמן","","","","","","","","","","","","","","","","","","","","","אמיר ישראלי","","","","אסף שילה","","","","","","","","","","אחר, פרט:","זיו איזנר","","","","","","","","","","","","","","","","","","","","","ברנע","","","","","","","","","","","","","","","","","","שושנה אלמגור","מיכל נד''ב","other","הרחבת העילות בבית הדין לעבודה לרהות לעניין דמי חבר ארגוני","מחוזי ת""א","צרכנות","","","","","","","","","","","legal_mediation","single_office","prosecutors","אין עילה.","הרצליה","owner",""
"35","2019-01-14 08:34:49","14/01/2019 3:36:15 pm","Partial","1","2","3","3","4","4","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36","2019-01-14 08:35:57","14/01/2019 3:47:40 pm","Complete","1","2","2","2","4","3","4","5","גיל רון קינן ושות'","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","עובדיה כהן","","שמש מנור","","","הרצוג פוקס נאמן","","","","","","","","נשיץ ברנדס אמיר","","","","","","","","","","","","ברנע","","","","","","","","","","","","","","","","","","יגאל גריל","גילה כנפי-שטייניץ","old_age","","מחוזי חיפה","","","","","","","","נגישות לאנשים עם מוגבלות","","","","settlement","single_office","prosecutors","תביעה קנטרנית שאיו בה תועלת לציבור","מודיעין-מכבים-רעות*","owner",""
"37","2019-01-14 08:36:06","14/01/2019 3:42:35 pm","Complete","1","2","3","4","4","4","2","5","","","","","אבי רוקח","","","","","","","","","","טנוס והאני ניזאר","","יוחי גבע","","","","","אורלי בן עמי","","","","","","","","","","","דוד מזרחי","","","","","","","","","","הרצוג פוקס נאמן","","","שבלת עם ראבד מגריזו","","","גורנציקי","","","","","","","עמר רייטר זאן","","","","","","","","","","","","","","","","","","","","","","ויינברגר ברטנטל","","","יגאל גריל","מנחם רניאל","privacy","","מחוזי חיפה","צרכנות","","","","","","","","","תביעות נגד רשויות","","dismissal","single_office","prosecutors","אין לה כל יסוד","פוריידיס","owner",""
"38","2019-01-14 08:37:45","14/01/2019 3:42:25 pm","Complete","1","3","3","4","2","3","2","2","גיל רון קינן ושות'","","","","","בך - לדרמן","","","","","","","","","","","","","","","","","","","","","","","","","","","","דן אשכנזי","","","","","","","","","","","","","","","","יגאל ארנון","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","אסתר נחליאלי חיאט","הדס  עובדיה","old_age","","מחוזי מרכז","צרכנות","","בנקאות","","","","","","","","","settlement","single_office","defendents","תביעה משוכפלת ","תל אביב -יפו","partner",""
"39","2019-01-14 08:40:05","14/01/2019 3:46:16 pm","Complete","1","1","2","2","5","4","3","5","גיל רון קינן ושות'","","","","אבי רוקח","","","","","","","","","","טנוס והאני ניזאר","","","","","","","","","","","","","","","","","","","","","","","","רם דקל","","","","","","","","","","גורנציקי","","","","גרוס קלינדהנדלר","","","","","","","","","","","","","","","","","","","","","","","","רון גזית רוטנברג","","","","יגאל גריל","יגאל גריל","prisoner_rights","","מחוזי ת""א","","","בנקאות","הגבלים עסקיים","","","","","","","","legal_mediation","coop_office","prosecutors","אין דבר כזה","תל אביב -יפו","refuse",""
"40","2019-01-14 08:41:04","14/01/2019 3:41:31 pm","Partial","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41","2019-01-14 08:44:57","14/01/2019 3:45:07 pm","Partial","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42","2019-01-14 08:46:38","14/01/2019 3:46:51 pm","Partial","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43","2019-01-14 08:46:57","14/01/2019 3:49:39 pm","Partial","1","2","3","3","2","4","3","4","גיל רון קינן ושות'","","שפירא בר אור מצקין","","","","","","ואנונו - זקבך","מוסקוביץ – אזרואל","","","","רונן עדיני","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","גורנציקי","יגאל ארנון","","ש.הורוביץ","","","","","","","","תדמור ושות פרופ' יובל לוי ושת","אגמון ושות רוזנברג הכהן ושות","","","","","","","","","","","","","","","","","","","","שושנה אלמגור","הדס  עובדיה","","","","","","","","","","","","","","","","","","","","",""
"44","2019-01-14 08:22:00","14/01/2019 3:55:02 pm","Complete","1","2","3","1","2","2","3","3","גיל רון קינן ושות'","","שפירא בר אור מצקין","","","","","","","","","קלעי רוזן","אסף פינק","","","","","","","","","","","","","","","","","","","","","","","חן יערי רוזן עם גלעד ברנע","","","","","","","","","","","","","","","נשיץ ברנדס אמיר","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","שושנה אלמגור","מנחם רניאל","prisoner_rights","","מחוזי מרכז","","","בנקאות","","ניירות ערך","","","","","","","verdict","single_office","defendents","תובענה שלא מבוססת על נזק ממוני ","תל אביב -יפו","partner",""
"45","2019-01-14 08:51:25","14/01/2019 3:53:09 pm","Partial","1","2","2","3","4","2","2","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46","2019-01-14 08:49:59","14/01/2019 10:50:05 pm","Partial","1","1","3","3","5","4","3","5","","","","","","","","גרימברג - ורד","ואנונו - זקבך","מוסקוביץ – אזרואל","","","אסף פינק","","","","","","","","","","","","","","","","","","אסף שילה","","","","","","","","","","","","הרצוג פוקס נאמן","","","","פישר בכר חן וול אוריון","","","","","ש.הורוביץ","","","","","","","","","","","","","","","","","","הררי טויסטר","","","","בן ארי פיש","","","","","","","הדס  עובדיה","שושנה אלמגור","internet","","מחוזי מרכז","","","","","","מפגעים סביבתיים","","","","תביעות נגד רשויות","","settlement","single_office","prosecutors","","נהריה","owner",""
