"Response ID","Set Number:כעת תוצג לך סדרה של אפשרויות בחירה. בכל פעם יופיעו <strong>שלוש אפשרויות שונות</strong> ועליך לבחור את <strong>האפשרות המועדפת עליך מבין השלוש:</strong><br /><br /><strong>בית משפט פסק לטובת צד התובעים בתובענה ייצוגית.<br /> כעת השופט נדרש לבחור את אופן מתן הפיצוי לציבור הנפגע.<br /> מבין האפשרויות הבאות, <u>מה הפיצוי המועדף עליך</u>?</strong><br />  ","Card Number:כעת תוצג לך סדרה של אפשרויות בחירה. בכל פעם יופיעו <strong>שלוש אפשרויות שונות</strong> ועליך לבחור את <strong>האפשרות המועדפת עליך מבין השלוש:</strong><br /><br /><strong>בית משפט פסק לטובת צד התובעים בתובענה ייצוגית.<br /> כעת השופט נדרש לבחור את אופן מתן הפיצוי לציבור הנפגע.<br /> מבין האפשרויות הבאות, <u>מה הפיצוי המועדף עליך</u>?</strong><br />  ","שיטת הפיצוי:כעת תוצג לך סדרה של אפשרויות בחירה. בכל פעם יופיעו <strong>שלוש אפשרויות שונות</strong> ועליך לבחור את <strong>האפשרות המועדפת עליך מבין השלוש:</strong><br /><br /><strong>בית משפט פסק לטובת צד התובעים בתובענה ייצוגית.<br /> כעת השופט נדרש לבחור את אופן מתן הפיצוי לציבור הנפגע.<br /> מבין האפשרויות הבאות, <u>מה הפיצוי המועדף עליך</u>?</strong><br />  ","סכום הפיצוי:כעת תוצג לך סדרה של אפשרויות בחירה. בכל פעם יופיעו <strong>שלוש אפשרויות שונות</strong> ועליך לבחור את <strong>האפשרות המועדפת עליך מבין השלוש:</strong><br /><br /><strong>בית משפט פסק לטובת צד התובעים בתובענה ייצוגית.<br /> כעת השופט נדרש לבחור את אופן מתן הפיצוי לציבור הנפגע.<br /> מבין האפשרויות הבאות, <u>מה הפיצוי המועדף עליך</u>?</strong><br />  ","אופן קבלת הפיצוי:כעת תוצג לך סדרה של אפשרויות בחירה. בכל פעם יופיעו <strong>שלוש אפשרויות שונות</strong> ועליך לבחור את <strong>האפשרות המועדפת עליך מבין השלוש:</strong><br /><br /><strong>בית משפט פסק לטובת צד התובעים בתובענה ייצוגית.<br /> כעת השופט נדרש לבחור את אופן מתן הפיצוי לציבור הנפגע.<br /> מבין האפשרויות הבאות, <u>מה הפיצוי המועדף עליך</u>?</strong><br />  ","Score:כעת תוצג לך סדרה של אפשרויות בחירה. בכל פעם יופיעו <strong>שלוש אפשרויות שונות</strong> ועליך לבחור את <strong>האפשרות המועדפת עליך מבין השלוש:</strong><br /><br /><strong>בית משפט פסק לטובת צד התובעים בתובענה ייצוגית.<br /> כעת השופט נדרש לבחור את אופן מתן הפיצוי לציבור הנפגע.<br /> מבין האפשרויות הבאות, <u>מה הפיצוי המועדף עליך</u>?</strong><br />  "
"14","3","3","push","25","another_product","0"
"14","4","1","push","50","refund_next_purchase","100"
"14","4","2","pull","100","bank_cheque","0"
"14","4","3","pull","50","bank_cheque","0"
"14","5","1","pull","50","another_product","0"
"14","5","2","push","25","credit_cart","100"
"14","5","3","pull","50","coupon","0"
"15","1","1","push","100","bank_cheque","100"
"15","1","2","push","25","coupon","0"
"15","1","3","push","50","credit_cart","0"
"15","2","1","pull","25","another_product","0"
"15","2","2","pull","50","credit_cart","100"
"15","2","3","pull","75","refund_next_purchase","0"
"15","3","1","push","75","refund_next_purchase","0"
"15","3","2","push","25","bank_cheque","100"
"15","3","3","push","50","another_product","0"
"15","4","1","pull","75","another_product","0"
"15","4","2","push","100","coupon","100"
"15","4","3","pull","100","coupon","0"
"15","5","1","pull","50","bank_cheque","0"
"15","5","2","pull","100","refund_next_purchase","0"
"15","5","3","pull","75","bank_cheque","100"
"17","1","1","push","100","bank_cheque","100"
"17","1","2","push","25","coupon","0"
"17","1","3","push","50","credit_cart","0"
"17","2","1","push","25","refund_next_purchase","0"
"17","2","2","pull","75","another_product","100"
"17","2","3","pull","100","bank_cheque","0"
"17","3","1","push","75","refund_next_purchase","0"
"17","3","2","push","75","credit_cart","100"
"17","3","3","push","100","another_product","0"
"17","4","1","pull","50","credit_cart","0"
"17","4","2","push","50","another_product","0"
"17","4","3","push","75","coupon","100"
"17","5","1","pull","100","coupon","100"
"17","5","2","pull","50","refund_next_purchase","0"
"17","5","3","pull","25","bank_cheque","0"
"18","1","1","push","75","another_product","100"
"18","1","2","pull","50","credit_cart","0"
"18","1","3","pull","100","refund_next_purchase","0"
"18","2","1","push","50","bank_cheque","0"
"18","2","2","pull","25","coupon","0"
"18","2","3","push","75","credit_cart","100"
"18","3","1","push","100","coupon","100"
"18","3","2","pull","25","bank_cheque","0"
"18","3","3","pull","50","another_product","0"
"18","4","1","pull","75","bank_cheque","100"
"18","4","2","pull","25","refund_next_purchase","0"
"18","4","3","push","100","another_product","0"
"18","5","1","pull","75","coupon","0"
"18","5","2","push","50","credit_cart","0"
"18","5","3","push","100","credit_cart","100"
"19","1","1","push","75","bank_cheque","100"
"19","1","2","push","100","coupon","0"
"19","1","3","pull","25","another_product","0"
"19","2","1","push","100","refund_next_purchase","0"
"19","2","2","pull","50","credit_cart","0"
"19","2","3","pull","75","coupon","100"
"19","3","1","push","50","another_product","0"
"19","3","2","pull","25","refund_next_purchase","0"
"19","3","3","pull","50","bank_cheque","100"
"19","4","1","push","75","refund_next_purchase","0"
"19","4","2","push","25","credit_cart","0"
"19","4","3","push","50","bank_cheque","100"
"19","5","1","pull","75","credit_cart","0"
"19","5","2","push","25","coupon","100"
"19","5","3","push","75","credit_cart","0"
"20","1","1","push","100","bank_cheque","100"
"20","1","2","pull","50","credit_cart","0"
"20","1","3","pull","25","another_product","0"
"20","2","1","push","75","coupon","100"
"20","2","2","pull","100","another_product","0"
"20","2","3","push","75","refund_next_purchase","0"
"20","3","1","pull","25","refund_next_purchase","0"
"20","3","2","pull","50","bank_cheque","0"
"20","3","3","pull","100","coupon","100"
"20","4","1","push","25","bank_cheque","0"
"20","4","2","push","50","coupon","100"
"20","4","3","push","75","another_product","0"
"20","5","1","pull","50","refund_next_purchase","0"
"20","5","2","pull","100","credit_cart","100"
"20","5","3","push","25","credit_cart","0"
"21","1","1","pull","75","bank_cheque","100"
"21","1","2","pull","50","coupon","0"
"21","1","3","push","100","another_product","0"
"21","2","1","push","50","refund_next_purchase","0"
"21","2","2","pull","100","another_product","100"
"21","2","3","push","75","refund_next_purchase","0"
"21","3","1","push","25","bank_cheque","0"
"21","3","2","pull","50","credit_cart","100"
"21","3","3","push","25","credit_cart","0"
"21","4","1","pull","75","coupon","0"
"21","4","2","pull","25","bank_cheque","0"
"21","4","3","push","75","coupon","100"
"21","5","1","push","50","credit_cart","0"
"21","5","2","push","25","refund_next_purchase","0"
"21","5","3","push","100","credit_cart","100"
"22","1","1","push","75","another_product","0"
"22","1","2","pull","100","coupon","100"
"22","1","3","push","50","bank_cheque","0"
"22","2","1","pull","100","refund_next_purchase","100"
"22","2","2","pull","25","credit_cart","0"
"22","2","3","pull","50","coupon","0"
"22","3","1","push","25","bank_cheque","0"
"22","3","2","push","75","credit_cart","100"
"22","3","3","pull","25","refund_next_purchase","0"
"22","4","1","pull","75","another_product","0"
"22","4","2","push","100","bank_cheque","100"
"22","4","3","pull","75","credit_cart","0"
"22","5","1","pull","50","refund_next_purchase","0"
"22","5","2","pull","25","another_product","0"
"22","5","3","push","50","another_product","100"
"23","1","1","push","100","another_product","100"
"23","1","2","push","25","coupon","0"
"23","1","3","push","75","credit_cart","0"
"23","2","1","push","25","refund_next_purchase","0"
"23","2","2","pull","50","credit_cart","100"
"23","2","3","pull","75","refund_next_purchase","0"
"23","3","1","push","50","another_product","0"
"23","3","2","push","100","coupon","100"
"23","3","3","pull","75","coupon","0"
"23","4","1","push","100","refund_next_purchase","0"
"23","4","2","pull","25","bank_cheque","0"
"23","4","3","push","50","bank_cheque","100"
"23","5","1","push","25","bank_cheque","0"
"23","5","2","pull","75","credit_cart","100"
"23","5","3","pull","100","coupon","0"
"25","1","1","pull","75","bank_cheque","0"
"25","1","2","push","50","credit_cart","100"
"25","1","3","pull","100","refund_next_purchase","0"
"25","2","1","pull","50","coupon","0"
"25","2","2","push","25","another_product","100"
"25","2","3","pull","100","credit_cart","0"
"25","3","1","push","25","refund_next_purchase","0"
"25","3","2","pull","75","another_product","100"
"25","3","3","push","50","coupon","0"
"25","4","1","push","25","bank_cheque","0"
"25","4","2","pull","75","coupon","100"
"25","4","3","pull","100","bank_cheque","0"
"25","5","1","pull","50","another_product","100"
"25","5","2","push","100","refund_next_purchase","0"
"25","5","3","pull","75","credit_cart","0"
"26","1","1","pull","75","bank_cheque","0"
"26","1","2","push","100","coupon","100"
"26","1","3","pull","25","credit_cart","0"
"26","2","1","pull","50","another_product","0"
"26","2","2","push","25","refund_next_purchase","100"
"26","2","3","push","50","another_product","0"
"26","3","1","push","75","credit_cart","100"
"26","3","2","push","100","refund_next_purchase","0"
"26","3","3","pull","75","coupon","0"
"26","4","1","pull","50","refund_next_purchase","0"
"26","4","2","pull","100","bank_cheque","100"
"26","4","3","push","25","coupon","0"
"26","5","1","pull","50","credit_cart","100"
"26","5","2","push","100","another_product","0"
"26","5","3","push","25","bank_cheque","0"
"27","1","1","push","100","another_product","100"
"27","1","2","pull","25","credit_cart","0"
"27","1","3","pull","75","refund_next_purchase","0"
"27","2","1","pull","25","coupon","0"
"27","2","2","pull","100","refund_next_purchase","100"
"27","2","3","push","50","bank_cheque","0"
"27","3","1","pull","50","bank_cheque","0"
"27","3","2","pull","25","another_product","0"
"27","3","3","push","100","coupon","100"
"27","4","1","push","75","credit_cart","0"
"27","4","2","pull","50","coupon","0"
"27","4","3","pull","100","credit_cart","100"
"27","5","1","push","75","another_product","100"
"27","5","2","push","25","refund_next_purchase","0"
"27","5","3","pull","50","refund_next_purchase","0"
"28","1","1","pull","75","another_product","0"
"28","1","2","pull","100","credit_cart","100"
"28","1","3","pull","50","refund_next_purchase","0"
"28","2","1","pull","25","coupon","0"
"28","2","2","push","50","bank_cheque","0"
"28","2","3","push","100","credit_cart","100"
"28","3","1","push","25","bank_cheque","0"
"28","3","2","push","75","another_product","100"
"28","3","3","push","50","coupon","0"
"28","4","1","pull","100","refund_next_purchase","0"
"28","4","2","pull","75","bank_cheque","0"
"28","4","3","push","100","another_product","100"
"28","5","1","push","25","refund_next_purchase","0"
"28","5","2","push","50","credit_cart","0"
"28","5","3","pull","75","refund_next_purchase","100"
"29","1","1","push","100","bank_cheque","0"
"29","1","2","pull","25","coupon","0"
"29","1","3","push","75","credit_cart","100"
"29","2","1","pull","25","refund_next_purchase","0"
"29","2","2","push","100","another_product","100"
"29","2","3","push","50","refund_next_purchase","0"
"29","3","1","push","50","coupon","100"
"29","3","2","pull","75","another_product","0"
"29","3","3","push","25","bank_cheque","0"
"29","4","1","push","75","another_product","0"
"29","4","2","pull","50","credit_cart","0"
"29","4","3","pull","75","credit_cart","100"
"29","5","1","pull","100","bank_cheque","100"
"29","5","2","pull","50","refund_next_purchase","0"
"29","5","3","pull","25","bank_cheque","0"
"30","1","1","pull","75","another_product","0"
"30","1","2","push","50","coupon","100"
"30","1","3","pull","25","credit_cart","0"
"30","2","1","push","50","refund_next_purchase","0"
"30","2","2","push","75","credit_cart","100"
"30","2","3","push","25","bank_cheque","0"
"30","3","1","push","75","bank_cheque","100"
"30","3","2","pull","25","refund_next_purchase","0"
"30","3","3","pull","100","coupon","0"
"30","4","1","pull","50","another_product","0"
"30","4","2","push","100","coupon","100"
"30","4","3","pull","50","credit_cart","0"
"30","5","1","push","100","another_product","0"
"30","5","2","push","75","refund_next_purchase","0"
"30","5","3","pull","25","bank_cheque","100"
"31","1","1","push","75","another_product","100"
"31","1","2","pull","100","credit_cart","0"
"31","1","3","pull","25","bank_cheque","0"
"31","2","1","pull","100","refund_next_purchase","0"
"31","2","2","pull","75","bank_cheque","100"
"31","2","3","pull","50","refund_next_purchase","0"
"31","3","1","push","50","coupon","100"
"31","3","2","pull","25","credit_cart","0"
"31","3","3","push","50","another_product","0"
"31","4","1","push","100","coupon","100"
"31","4","2","push","75","credit_cart","0"
"31","4","3","pull","100","coupon","0"
"31","5","1","push","25","bank_cheque","0"
"31","5","2","push","25","another_product","100"
"31","5","3","pull","75","refund_next_purchase","0"
"33","1","1","pull","75","another_product","0"
"33","1","2","push","100","credit_cart","100"
"33","1","3","push","50","refund_next_purchase","0"
"33","2","1","pull","25","coupon","0"
"33","2","2","pull","50","bank_cheque","100"
"33","2","3","pull","75","refund_next_purchase","0"
"33","3","1","pull","100","bank_cheque","0"
"33","3","2","push","25","another_product","0"
"33","3","3","pull","100","credit_cart","100"
"33","4","1","pull","75","coupon","0"
"33","4","2","pull","50","credit_cart","100"
"33","4","3","pull","25","bank_cheque","0"
"33","5","1","push","75","another_product","0"
"33","5","2","pull","50","refund_next_purchase","0"
"33","5","3","push","100","coupon","100"
"34","1","1","push","75","bank_cheque","0"
"34","1","2","pull","100","credit_cart","100"
"34","1","3","pull","25","refund_next_purchase","0"
"34","2","1","pull","100","coupon","100"
"34","2","2","push","50","refund_next_purchase","0"
"34","2","3","push","25","coupon","0"
"34","3","1","push","50","bank_cheque","100"
"34","3","2","pull","25","credit_cart","0"
"34","3","3","pull","100","another_product","0"
"34","4","1","push","75","credit_cart","100"
"34","4","2","pull","50","another_product","0"
"34","4","3","push","75","another_product","0"
"34","5","1","pull","100","refund_next_purchase","0"
"34","5","2","pull","75","bank_cheque","100"
"34","5","3","pull","25","coupon","0"
"35","1","1","pull","75","another_product","100"
"35","1","2","pull","100","coupon","0"
"35","1","3","pull","25","credit_cart","0"
"35","2","1","pull","50","bank_cheque","0"
"35","2","2","push","25","credit_cart","0"
"35","2","3","pull","50","refund_next_purchase","100"
"35","3","1","push","100","refund_next_purchase","100"
"35","3","2","pull","50","another_product","0"
"35","3","3","push","75","coupon","0"
"35","4","1","pull","100","bank_cheque","100"
"35","4","2","push","25","coupon","0"
"35","4","3","pull","75","bank_cheque","0"
"35","5","1","pull","25","refund_next_purchase","0"
"35","5","2","push","50","credit_cart","100"
"35","5","3","pull","100","another_product","0"
"36","1","1","push","100","bank_cheque","100"
"36","1","2","push","50","coupon","0"
"36","1","3","pull","75","credit_cart","0"
"36","2","1","push","25","refund_next_purchase","0"
"36","2","2","pull","100","credit_cart","100"
"36","2","3","push","50","refund_next_purchase","0"
"36","3","1","pull","25","another_product","0"
"36","3","2","push","75","coupon","100"
"36","3","3","push","25","bank_cheque","0"
"36","4","1","pull","75","coupon","100"
"36","4","2","push","100","another_product","0"
"36","4","3","pull","50","bank_cheque","0"
"36","5","1","pull","25","credit_cart","100"
"36","5","2","pull","100","refund_next_purchase","0"
"36","5","3","push","75","another_product","0"
"37","1","1","push","75","bank_cheque","0"
"37","1","2","push","100","coupon","100"
"37","1","3","push","25","credit_cart","0"
"37","2","1","pull","50","refund_next_purchase","0"
"37","2","2","pull","25","another_product","100"
"37","2","3","pull","50","coupon","0"
"37","3","1","pull","75","another_product","100"
"37","3","2","pull","100","bank_cheque","0"
"37","3","3","pull","75","refund_next_purchase","0"
"37","4","1","push","50","bank_cheque","0"
"37","4","2","push","100","refund_next_purchase","0"
"37","4","3","push","50","coupon","100"
"37","5","1","push","25","another_product","0"
"37","5","2","pull","75","bank_cheque","100"
"37","5","3","pull","100","credit_cart","0"
"38","1","1","pull","75","another_product","0"
"38","1","2","pull","100","coupon","100"
"38","1","3","push","25","credit_cart","0"
"38","2","1","pull","50","refund_next_purchase","0"
"38","2","2","pull","25","bank_cheque","100"
"38","2","3","pull","50","coupon","0"
"38","3","1","pull","100","credit_cart","100"
"38","3","2","pull","75","refund_next_purchase","0"
"38","3","3","push","100","another_product","0"
"38","4","1","pull","50","bank_cheque","100"
"38","4","2","push","25","bank_cheque","0"
"38","4","3","pull","100","another_product","0"
"38","5","1","push","25","coupon","0"
"38","5","2","push","50","credit_cart","0"
"38","5","3","push","75","coupon","100"
"40","1","1","pull","100","bank_cheque","100"
"40","1","2","push","25","coupon","0"
"40","1","3","pull","50","another_product","0"
"40","2","1","pull","75","refund_next_purchase","0"
"40","2","2","pull","50","credit_cart","100"
"40","2","3","push","25","refund_next_purchase","0"
"40","3","1","push","75","another_product","0"
"40","3","2","push","25","credit_cart","0"
"40","3","3","pull","100","coupon","100"
"40","4","1","pull","50","bank_cheque","0"
"40","4","2","pull","100","credit_cart","100"
"40","4","3","pull","75","bank_cheque","0"
"40","5","1","push","100","another_product","0"
"40","5","2","pull","75","coupon","100"
"40","5","3","push","50","coupon","0"
"41","1","1","pull","100","another_product","100"
"41","1","2","pull","50","credit_cart","0"
"41","1","3","push","25","refund_next_purchase","0"
"41","2","1","push","75","bank_cheque","100"
"41","2","2","pull","100","refund_next_purchase","0"
"41","2","3","push","75","coupon","0"
"41","3","1","pull","50","another_product","0"
"41","3","2","pull","75","bank_cheque","100"
"41","3","3","push","50","coupon","0"
"41","4","1","pull","100","credit_cart","100"
"41","4","2","pull","25","another_product","0"
"41","4","3","pull","25","credit_cart","0"
"41","5","1","pull","50","coupon","0"
"41","5","2","push","25","bank_cheque","0"
"41","5","3","push","100","bank_cheque","100"
"42","1","1","pull","75","another_product","100"
"42","1","2","push","50","credit_cart","0"
"42","1","3","pull","100","refund_next_purchase","0"
"42","2","1","push","25","bank_cheque","0"
"42","2","2","push","75","refund_next_purchase","100"
"42","2","3","pull","100","coupon","0"
"42","3","1","pull","25","bank_cheque","0"
"42","3","2","pull","50","another_product","100"
"42","3","3","push","25","coupon","0"
"42","4","1","pull","100","another_product","0"
"42","4","2","push","75","credit_cart","100"
"42","4","3","push","100","credit_cart","0"
"42","5","1","pull","25","coupon","100"
"42","5","2","pull","75","bank_cheque","0"
"42","5","3","push","25","refund_next_purchase","0"
"44","1","1","pull","100","bank_cheque","100"
"44","1","2","pull","25","credit_cart","0"
"44","1","3","push","50","refund_next_purchase","0"
"44","2","1","pull","75","coupon","0"
"44","2","2","pull","100","another_product","100"
"44","2","3","pull","25","another_product","0"
"44","3","1","pull","50","refund_next_purchase","0"
"44","3","2","pull","75","credit_cart","100"
"44","3","3","push","50","coupon","0"
"44","4","1","push","100","credit_cart","100"
"44","4","2","pull","25","bank_cheque","0"
"44","4","3","push","75","bank_cheque","0"
"44","5","1","push","50","another_product","0"
"44","5","2","push","100","refund_next_purchase","0"
"44","5","3","pull","25","coupon","100"
"45","1","1","pull","100","another_product","0"
"45","1","2","push","50","coupon","0"
"45","1","3","push","25","bank_cheque","100"
"45","2","1","push","75","refund_next_purchase","0"
"45","2","2","push","25","credit_cart","0"
"45","2","3","push","75","bank_cheque","100"
"45","3","1","push","50","refund_next_purchase","0"
"45","3","2","push","100","credit_cart","100"
"45","3","3","pull","50","another_product","0"
"45","4","1","pull","75","credit_cart","100"
"45","4","2","pull","25","coupon","0"
"45","4","3","pull","25","another_product","0"
"45","5","1","pull","75","coupon","0"
"45","5","2","push","100","refund_next_purchase","0"
"45","5","3","push","100","coupon","100"
"46","1","1","pull","75","bank_cheque","0"
"46","1","2","push","50","credit_cart","100"
"46","1","3","pull","25","another_product","0"
"46","2","1","pull","100","refund_next_purchase","0"
"46","2","2","push","100","refund_next_purchase","0"
"46","2","3","pull","50","coupon","100"
"46","3","1","pull","75","another_product","0"
"46","3","2","pull","25","credit_cart","0"
"46","3","3","push","75","bank_cheque","100"
"46","4","1","pull","100","bank_cheque","100"
"46","4","2","pull","50","credit_cart","0"
"46","4","3","push","25","another_product","0"
"46","5","1","push","25","coupon","0"
"46","5","2","push","75","refund_next_purchase","0"
"46","5","3","pull","100","credit_cart","100"
"47","1","1","push","75","another_product","0"
"47","1","2","push","100","credit_cart","100"
"47","1","3","pull","25","bank_cheque","0"
"47","2","1","push","100","refund_next_purchase","0"
"47","2","2","push","75","bank_cheque","100"
"47","2","3","pull","50","refund_next_purchase","0"
"47","3","1","push","25","coupon","0"
"47","3","2","push","50","credit_cart","100"
"47","3","3","pull","25","coupon","0"
"47","4","1","pull","75","credit_cart","0"
"47","4","2","push","50","coupon","0"
"47","4","3","push","75","refund_next_purchase","100"
"47","5","1","push","100","bank_cheque","100"
"47","5","2","push","25","another_product","0"
"47","5","3","pull","100","another_product","0"
"49","1","1","pull","100","another_product","0"
"49","1","2","pull","25","coupon","0"
"49","1","3","push","50","credit_cart","100"
"49","2","1","pull","25","bank_cheque","0"
"49","2","2","push","75","credit_cart","100"
"49","2","3","push","100","refund_next_purchase","0"
"49","3","1","pull","75","another_product","0"
"49","3","2","push","100","bank_cheque","100"
"49","3","3","pull","50","refund_next_purchase","0"
"49","4","1","pull","75","bank_cheque","100"
"49","4","2","pull","50","coupon","0"
"49","4","3","pull","100","refund_next_purchase","0"
"49","5","1","push","50","coupon","100"
"49","5","2","pull","25","credit_cart","0"
"49","5","3","push","25","refund_next_purchase","0"
"50","1","1","pull","100","another_product","0"
"50","1","2","push","50","credit_cart","100"
"50","1","3","pull","25","bank_cheque","0"
"50","2","1","push","75","coupon","100"
"50","2","2","push","25","refund_next_purchase","0"
"50","2","3","push","50","coupon","0"
"50","3","1","pull","75","refund_next_purchase","0"
"50","3","2","pull","50","credit_cart","100"
"50","3","3","push","100","another_product","0"
"50","4","1","push","25","bank_cheque","0"
"50","4","2","push","75","another_product","0"
"50","4","3","pull","100","bank_cheque","100"
"50","5","1","push","75","refund_next_purchase","0"
"50","5","2","pull","100","credit_cart","100"
"50","5","3","pull","25","refund_next_purchase","0"
"51","1","1","pull","100","another_product","0"
"51","1","2","push","50","coupon","100"
"51","1","3","pull","75","bank_cheque","0"
"51","2","1","pull","25","refund_next_purchase","0"
"51","2","2","push","100","credit_cart","100"
"51","2","3","pull","75","coupon","0"
"51","3","1","push","25","credit_cart","100"
"51","3","2","pull","50","another_product","0"
"51","3","3","pull","100","bank_cheque","0"
"51","4","1","push","25","refund_next_purchase","0"
"51","4","2","push","50","another_product","0"
"51","4","3","push","100","refund_next_purchase","100"
"51","5","1","push","50","bank_cheque","0"
"51","5","2","push","75","credit_cart","100"
"51","5","3","pull","25","bank_cheque","0"
"52","1","1","pull","100","another_product","0"
"52","1","2","push","50","credit_cart","100"
"52","1","3","push","25","bank_cheque","0"
"52","2","1","push","75","refund_next_purchase","0"
"52","2","2","push","100","coupon","100"
