"Response ID","Time Started","Date Submitted","Status","age","q1_hear_term_class_action","q2_what_is_a_class_action","אחר, פרט::q2_what_is_a_class_action","q4_class_action_past","כן, אנא פרט/י איזו תביעה הכי זכורה לך::q4_class_action_past","q5_class_action_defend_public","q6_receive_benefit","q7_receive_amount","q8_receive_how","q9_support_increased_fee","q10_why_support_increased_fee","q11_not_support_not_opposed_why","q12_opposed_why","q13_considering_filing","תקשורת:q14_filing_field","צרכנות:q14_filing_field","בנקאות:q14_filing_field","ביטוח:q14_filing_field","ניירות ערך:q14_filing_field","דיני עבודה:q14_filing_field","זיהום ופגיעה בסביבה:q14_filing_field","ספאם:q14_filing_field","אפליה על רקע גזע ודת:q14_filing_field","נגישות:q14_filing_field","תביעה נגד רשויות:q14_filing_field","אחר, פרט::q14_filing_field","אחר, פרט::q14_filing_field","q15_fee_prevent_filing","q16_quantify_compensation","אחר, פרט::q16_quantify_compensation","gender","edu","family_status","employment","income","rel","אחר, פרט::rel","rel_deg","אחר, פרט::rel_deg","city"
"22","2019-01-16 09:06:28","16/01/2019 4:10:08 pm","Complete","37","1","public_suit_individual_loss","","0","","4","1","5 שח","coupon","3","","לא יודע","","0","","","","","","","","","","","","","","-99","5","","male","4","married","hired","3","Jew","","Secular","","רחובות"
"23","2019-01-16 09:35:21","16/01/2019 4:39:13 pm","Complete","40","0","","","0","","4","0","","","-99","","","","0","","","","","","","","","","","","","","-99","99","","female","2","divorced_separated","self_employed","3","Jew","","Secular","","תל אביב"
"24","2019-01-16 09:45:29","16/01/2019 4:46:09 pm","Partial","32","1","state_neglect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","2019-01-16 09:46:16","16/01/2019 4:47:47 pm","Complete","32","0","","","0","","1","-99","","","-99","","","","0","","","","","","","","","","","","","","-99","99","","female","3","married","hired","3","Jew","","Secular","","רמת השרון"
"26","2019-01-16 10:01:20","16/01/2019 5:07:10 pm","Complete","18","0","","","0","","4","0","","","1","","","פוגע בשכבות המוחלשות","0","","","","","","","","","","","","","","1","4","","female","3","single","student","3","Jew","","Ultra-orthodox","","בני ברק"
"27","2019-01-16 10:22:15","16/01/2019 5:27:46 pm","Complete","27","1","public_suit_individual_loss","","0","","4","-99","","","1","","","כי יש אנשים שתובעים בצדק ואין להם את הכסף הזה","0","","","","","","","","","","","","","","1","5","","female","2","married","hired","1","Jew","","Secular","","מבשרת ציון"
"28","2019-01-16 11:03:02","16/01/2019 6:07:44 pm","Complete","54","1","advance_public_rights","","1","היה של ץנובה לפני חודש","3","1","14","cash","2","","","אורס הזכויות של אזרח קטן ","0","","","","","","","","","","","","","","-99","3","","male","5","married","hired","2","Jew","","Religious","","רעננה"
"29","2019-01-16 11:32:55","16/01/2019 6:38:40 pm","Complete","28","1","state_neglect","","1","רמדיה","5","0","","","2","","","אם מערכת המשפט גובה כל כך הרבה כספים על הצגת תביעות ייצוגיות, פחות אנשים יתבעו ולכן פחות אנשים יזכו לצדק שמגיע להם. אם חסר כסף למערכת המשפט- חסרים שופטים/ עורכי דין, המדינה צריכה למנותם. לא לגבות כספים נוספים","1","","consumer","","","","","","","","","","","","1","5","","female","4","married","hired","3","Jew","","Religious","","מודיעין"
"30","2019-01-16 11:39:49","16/01/2019 6:48:47 pm","Complete","28","1","public_suit_individual_loss","","1","בנק דיסקונט, תנובה","5","0","","","1","","","חסם משמעותי לציבור להגשת תביעה ייצוגית כשגם ככה יש קושי להגישה ומדובר בתהליך ארוך עד שביהמ""ש מאשרה.","0","","","","","","","","","","","","","","1","5","","female","4","married","hired","3","Jew","","Secular","","רחובות"
"31","2019-01-16 12:19:36","16/01/2019 7:25:48 pm","Complete","38","1","public_suit_individual_loss","","1","בנקים","3","-99","","","1","","","הרתעת הציבור מלהגיש גם תביעות מבוססות בהיעדר יכולת כלכלית","0","","","","","","","","","","","","","","1","5","","female","4","married","hired","4","Jew","","Secular","","קריית אונו"
"32","2019-01-16 12:59:27","16/01/2019 8:01:53 pm","Partial","18","1","state_neglect","","1","היתה טביע על מילקי פעם","3","0","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33","2019-01-16 13:10:25","16/01/2019 8:17:19 pm","Complete","30","1","advance_public_rights","","1","כץ נגד וואלה שופס","5","1","100","coupon","1","","","שמערכת המשפט תעבוד ותקבל תגמולים מהתוצאות לא מהאגרה.","1","media","consumer","banking","insurance","","labor","polution","spam","","","authorities","","","1","4","","male","5","single","student","1","Jew","","Ultra-orthodox","","נתניה"
"34","2019-01-16 13:15:01","16/01/2019 8:18:30 pm","Complete","18","1","public_suit_individual_loss","","0","","5","0","","","3","","","","0","","","","","","","","","","","","","","1","5","","female","2","single","hired","2","Jew","","Secular","","אור עקיבא"
"35","2019-01-16 13:16:53","16/01/2019 8:19:33 pm","Complete","45","1","public_suit_individual_loss","","1","בזק,הוט,אסוס","4","0","","","4","למה לא","","","0","","","","","","","","","","","","","","1","5","","male","3","married","hired","2","Jew","","Traditional","","קריית מוצקין"
"36","2019-01-16 13:23:33","16/01/2019 8:26:58 pm","Complete","30","1","dont_know","","0","","4","0","","","3","","","","0","","","","","","","","","","","","","","-99","99","","female","5","married","hired","4","Jew","","Secular",""," =גדרה"
"37","2019-01-16 13:25:03","16/01/2019 8:28:30 pm","Complete","28","1","lawyer_get_rich","","0","","4","0","","","4","אני לא תומך","","","0","","","","","","","","","","","","","","1","3","","male","4","single","self_employed","2","Jew","","Traditional","","תל אביב"
"38","2019-01-16 13:56:35","16/01/2019 9:07:49 pm","Complete","31","0","","","0","","5","0","","","2","","","כי לא לכולם יש כסף הזה וזה רק מקשה על החיים יותר","0","","","","","","","","","","","","","","1","5","","female","2","single","hired","1","Other","בתהליכי גיור","Traditional","","באר שבע"
"40","2019-01-16 15:53:13","16/01/2019 11:01:14 pm","Complete","42","1","advance_public_rights","","1","תביעה בשם תושבי שכונה ברחובות בעקבות דליפת אמוניה ממפעל פלדמן","3","0","","","3","","אני מבינה את שני הצדדים ולכן בחרתי באמצע","","0","","","","","","","","","","","","","","1","5","","female","3","married","hired","4","Jew","","Secular","","רחובות"
"41","2019-01-16 16:19:27","16/01/2019 11:26:51 pm","Complete","23","1","public_suit_individual_loss","","1","נגד יש - שופרסל לאחרונה","3","0","","","4","שלא כל משועמם ילך לבלבל לחברות את השכל","","","0","","","","","","","","","","","","","","-99","6","תלוי כמה הנזק היה","female","3","married","unemployed","1","Jew","","Ultra-orthodox","","בית שמש"
"42","2019-01-16 16:32:00","16/01/2019 11:39:09 pm","Complete","19","0","","","0","","5","0","","","1","","","אני מתנגדת להצעה משום שיש אוכלוסויות שונות בארץ שרוצות  להגיש תביעה אבל אינה יכולה מסיבות כלכליות ולכן המחיר הרב שהם צריכות לשלם כדי להגיש אינו הוגן ","0","","","","","","","","","","","","","","-99","5","","female","3","single","soldier","2","Jew","","Secular","","קריית גת"
"43","2019-01-16 16:39:32","16/01/2019 11:39:42 pm","Partial","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44","2019-01-16 21:06:34","17/01/2019 4:10:01 am","Complete","20","1","state_neglect","","0","","4","-99","","","3","","אין לי בעיה עם זה","","1","","","","","","","","","","","","other","לא מעוניינת לפרט","1","5","","female","2","single","hired","2","Jew","","Traditional","","רמת גן"
"45","2019-01-16 23:13:07","17/01/2019 6:16:30 am","Complete","36","1","public_suit_individual_loss","","1","גודל הבמבה","4","1","4 שח","coupon","3","","מקשה על הגדה גם במקרים צודקים","","0","","","","","","","","","","","","","","1","1","","male","5","married","hired","4","Jew","","Religious","","ירושלים"
"46","2019-01-16 23:15:56","17/01/2019 6:21:39 am","Complete","33","1","advance_public_rights","","0","","4","0","","","1","","","אינו מאפשר לקבוצות מוחלשות (שעליהן תביעות ייצוגיות נועד להגן) לבצע מהלך ","0","","","","","","","","","","","","","","1","5","","female","2","single","hired","2","Jew","","Secular","","רמת גן"
"47","2019-01-16 23:17:31","17/01/2019 6:23:19 am","Complete","29","1","state_neglect","","1","כנגד חברת פז,קיבלתי בקבוק מים","3","1","5","coupon","5","לא חושב שכל אחד צריך להגיש תבחעה על כל דבר","","","0","","","","","","","","","","","","","","1","2","","male","3","married","hired","3","Jew","","Secular","","אור יהודה"
"49","2019-01-16 23:45:04","17/01/2019 6:49:28 am","Complete","32","1","public_suit_individual_loss","","1","אריזת מסטיק/ מיקוד אזרחי","4","0","","","2","","","זה מסרבל ומקשה על התהליך ובכך ייתכן ואזרחים יגישו פחות תביעות ייצוגיות","0","","","","","","","","","","","","","","1","6","לא בקיא בפרטי המקרה","male","4","married","hired","4","Jew","","Traditional","","קדימה-צורן"
"50","2019-01-16 23:48:05","17/01/2019 6:53:36 am","Complete","38","1","advance_public_rights","","0","","3","1","120","cheque","1","","","תובענות שיהיו נכונות וצודקות לא יוגשו בגלל המחיר המופרז והלא נורמלי הזה! ","0","","","","","","","","","","","","","","1","4","","female","3","single","hired","2","Jew","","Secular","","חיפה"
"51","2019-01-16 23:53:07","17/01/2019 7:01:09 am","Complete","22","1","state_neglect","","0","","4","0","","","3","","אני תומך ואיני מתנגד אין לי עמדה בכך","","0","","","","","","","","","","","","","","-99","5","","female","4","single","unemployed","3","Jew","","Religious","","אשקלון"
"52","2019-01-17 00:07:12","17/01/2019 7:11:33 am","Complete","33","1","advance_public_rights","","0","","4","1","לא זוכרת, סכומים זעומים.","cheque","3","","","","0","","","","","","","","","","","","","","-99","5","","female","5","married","hired","4","Jew","","Traditional","","דימונה"
"53","2019-01-17 00:08:40","17/01/2019 7:11:37 am","Complete","24","1","public_suit_individual_loss","","0","","4","1","5","benefit_discount","2","","","ימנע צדק כי אנשים חסרי ממון יפחדו להגיש תביעה","0","","","","","","","","","","","","","","1","5","","male","3","single","student","1","Jew","","Secular","","באר שבע"
"54","2019-01-17 00:09:49","17/01/2019 7:10:45 am","Partial","22","1","lawyer_get_rich","","0","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55","2019-01-17 00:10:31","17/01/2019 7:15:05 am","Complete","33","1","advance_public_rights","","0","","5","0","","","2","","","","0","","","","","","","","","","","","","","0","5","","female","4","single","hired","4","Jew","","Religious","","מבשרת ציון"
"56","2019-01-17 00:10:47","17/01/2019 7:18:37 am","Complete","48","1","public_suit_individual_loss","","1","שופר סל","5","1","4 שח","benefit_discount","2","","","מי שתובע צריך לשלם הון","0","","","","","","","","","","","","","","1","5","","female","3","married","hired","5","Jew","","Secular","","אשקלון"
"57","2019-01-17 00:16:39","17/01/2019 7:20:12 am","Complete","19","1","state_neglect","","0","","4","0","","","2","","","אם הם רצו למנוע תביעות סרק, לא היו צריכים להעלות למחיר כל כך גבוה אלא למחיר סימלי של כעד 1000 שח","0","","","","","","","","","","","","","","1","5","","female","3","single","student","2","Jew","","Secular","","שדרות"
"58","2019-01-17 00:20:41","17/01/2019 7:23:51 am","Complete","52","1","public_suit_individual_loss","","0","","4","1","100","cash","2","","","נזק לציבור הצרכנים","1","media","","","","","labor","","","","","","","","1","2","","male","5","single","hired","3","Jew","","Religious","","חיםה"
"59","2019-01-17 00:21:44","17/01/2019 7:26:41 am","Complete","22","0","","","0","","4","0","","","2","","","אם מתישהו המדינה החליטה שזה מספיק חשוב כדי שיהיה בחינם אז לשים על זה מחיר, ועוד כזה גבוה יקשה על הצדק להתקיים","0","","","","","","","","","","","","","","1","4","","female","2","single","hired","3","Jew","","Secular","","חדרה"
"60","2019-01-17 00:22:15","17/01/2019 7:25:50 am","Complete","36","1","public_suit_individual_loss","","1","תנובה","4","0","","","3","","","","0","","","","","","","","","","","","","","-99","99","","female","2","married","hired","4","Jew","","Secular","","בת ים"
"61","2019-01-17 00:24:11","17/01/2019 7:32:29 am","Complete","38","1","state_neglect","","1","בזק .. סונול ","4","-99","","","5","כי מטרת תביעה ציבורית היא לקגם ולהגן על זכויות הציבור ..ולכן לא צריך לבזבז את כספי המסים ואת זמני בתי המשפט על תביעות סרק","","","0","","","","","","","","","","","","","","0","5","","female","4","divorced_separated","hired","3","Druz","","","","עספיא"
"62","2019-01-17 00:26:35","17/01/2019 7:32:11 am","Complete","24","1","public_suit_individual_loss","","1","תביעה נגד רדבולל על זה שלא גדלו כנפיים","4","1","10","benefit_discount","2","","","מחיר לא דרך הגבלה טובה משום ששיטה כזאת מגבילה שכבות אוכלוסיה מסויימות ולא את כולם","0","","","","","","","","","","","","","","-99","5","","male","4","married","soldier","1","Jew","","Secular","","בית דגן"
"63","2019-01-17 00:35:04","17/01/2019 7:38:13 am","Complete","35","1","public_suit_individual_loss","","1","סלקום","4","1","5","benefit_discount","2","","","מגיע לצרכנים צדק","0","","","","","","","","","","","","","","1","5","","female","4","divorced_separated","hired","4","Jew","","Secular","","רמת גן"
"64","2019-01-17 00:38:56","17/01/2019 7:42:16 am","Complete","54","1","public_suit_individual_loss","","0","","4","-99","","","3","","למעשה בעד החוק אולם אם יתברר כי התובענה מוצדקת יש להחזיר את האגרה לתובעים","","0","","","","","","","","","","","","","","0","3","","male","3","married","hired","4","Jew","","Secular","","קרית אתא"
"65","2019-01-17 00:52:22","17/01/2019 7:55:53 am","Complete","35","1","advance_public_rights","","1","שופרסל","4","1","4","cash","1","","","כי היא מונעת את הזכות הבסיסית של הציבור הרחב להביע מרות והתנגדות/תביעה כנגד גופים גדולים וחזקים.","0","","","","","","","","","","","","","","1","5","","female","4","divorced_separated","hired","4","Jew","","Traditional","","ראשון לציון"
"66","2019-01-17 00:52:53","17/01/2019 7:58:17 am","Complete","36","1","state_neglect","","0","","4","0","","","1","","","לא לכולם יש סכום כזה גדול","0","","","","","","","","","","","","","","-99","5","","male","3","married","hired","1","Jew","","Traditional","","קריית גת"
"67","2019-01-17 00:54:33","17/01/2019 8:02:17 am","Complete","24","1","public_suit_individual_loss","","0","","4","0","","","3","","אני לא יודע עד כמה זה יעזור או לא יעזור להורדת העומס בבתי המשפט","","0","","","","","","","","","","","","","","0","99","","male","4","single","student","4","Jew","","Secular","","באר שבע"
"68","2019-01-17 00:55:46","17/01/2019 7:59:46 am","Complete","31","1","advance_public_rights","","0","","4","1","4","benefit_discount","1","","","הממשלה רק מחפשת להוציא כסף מאנשים","0","","","","","","","","","","","","","","1","5","","female","3","married","hired","4","Jew","","Secular","","רחובות"
"69","2019-01-17 00:58:46","17/01/2019 8:03:03 am","Complete","41","1","public_suit_individual_loss","","1","נגד ASOS","4","0","","","5","המניעים שלו בהירים ונכונים לדעתי: יותר מידי עומס ורצון לא תמיד נקי לדפוק את המערכת.","","","0","","","","","","","","","","","","","","1","5","","male","5","married","hired","5","Jew","","Secular","","רחובות"
"70","2019-01-17 00:59:28","17/01/2019 8:08:04 am","Complete","32","1","advance_public_rights","","0","","3","0","","","2","","","","0","","","","","","","","","","","","","","-99","99","","female","4","single","hired","1","Jew","","Secular","","חיפה"
"71","2019-01-17 01:04:53","17/01/2019 8:08:01 am","Complete","45","1","public_suit_individual_loss","","1","טבע נאות","5","0","","","3","","לא מספיק מעורה בעניין זה","","0","","","","","","","","","","","","","","-99","5","","female","4","married","hired","3","Jew","","Secular","","אפיק"
"72","2019-01-17 01:12:50","17/01/2019 8:17:20 am","Complete","28","1","public_suit_individual_loss","","1","פרשת רמדיה","5","0","","","1","","","מפני שאין ביכולתה של השרה לקבוע מהי מידת הפגיעה לאנשים הרוצים לתבוע תביעה ייצוגית. כל תביעה צריכה להתדיין בבית המשפט. ","0","","","","","","","","","","","","","","-99","5","","female","5","single","hired","3","Jew","","Secular","","ירושלים"
"73","2019-01-17 01:16:29","17/01/2019 8:17:05 am","Partial","26","1","state_neglect","","0","","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74","2019-01-17 01:18:31","17/01/2019 8:36:34 am","Complete","54","1","advance_public_rights","","0","","4","-99","","","2","","","מפני שהתביעות הם בדרך כלל נגד חברות גדולות  בעלות כח רב וכך מגדילים את כוחם","0","","","","","","","","","","","","","","-99","99","","female","4","single","self_employed","1","Jew","","Secular","","יהוד"
"75","2019-01-17 01:24:52","17/01/2019 8:35:01 am","Complete","27","1","state_neglect","","1","חברות הסלולר למינהן","3","0","","","2","","","תביעה ייצוגית אומנם מניבה רווח רב לעורכי הדין ולעיתים אינה מפיקה את הלקח הצפוי ואינה משרתת את הציבור כראוי אלא את מגיש התביעה ועורכי הדין אך מנגד יש לתקן עוולות אלו ולא להערים קשיים על הציבור בהגשת תביעות אלו. מדובר בכלי חשוב של הפרט בעולם התאגידי בו אנו חיים. יש לשנות את הגישה בה פועלת התביעה אך לא בדרך זו.","0","","","","","","","","","","","","","","1","1","","female","4","married","housewife","1","Jew","","Religious","","ניר עציון"
"76","2019-01-17 01:25:30","17/01/2019 8:31:40 am","Complete","61","1","public_suit_individual_loss","","1","נגד סופרסל","4","1","4 שקל","benefit_discount","3","","לא יודעת את כל המידע","","1","","","","","","labor","","","","","","","","1","5","","female","4","married","pension","2","Jew","","Secular","","חד-נס"
"77","2019-01-17 01:25:46","17/01/2019 8:29:29 am","Complete","25","1","advance_public_rights","","0","","3","0","","","1","","","זוהי פגיעה בשיוויון זכויות של אנשים ללא אמצעים לקבל שירות הוגן","0","","","","","","","","","","","","","","1","3","","female","3","single","student","1","Jew","","Secular","","משגב עם"
"78","2019-01-17 01:29:21","17/01/2019 8:36:51 am","Complete","35","1","public_suit_individual_loss","","1","היה עכשיו של שופרסל ושל 012","5","1","משופרסל בעל קניה אני מקבלת 4 ₪ ובעלי קיבל מ012 20₪","cash","1","","","אני לא חושבת שצריך לגבות כסף על זה, אם יש מספיק אנשים שנפגעו מאותו החברה באותו הנושא זה מספיק","0","","","","","","","","","","","","","","1","99","","female","3","married","unemployed","2","Jew","","Secular","","רחובות"
"79","2019-01-17 01:29:28","17/01/2019 8:30:22 am","Partial","31","1","state_neglect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80","2019-01-17 01:31:07","17/01/2019 8:31:21 am","Partial","32","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"81","2019-01-17 01:40:06","17/01/2019 8:43:21 am","Complete","36","1","state_neglect","","0","","4","-99","","","3","","","","0","","","","","","","","","","","","","","-99","99","","female","4","divorced_separated","unemployed","1","Jew","","Traditional","","בת ים"
"82","2019-01-17 01:41:59","17/01/2019 8:49:38 am","Complete","36","1","public_suit_individual_loss","","0","","3","1","עשרות שקלים","benefit_discount","4","לתת אפשרות לאנשים לקבל את זכויותיהם ","","","0","","","","","","","","","","","","","","-99","99","","male","3","married","hired","4","Jew","","Traditional","","תל אביב -יפו"
"83","2019-01-17 01:45:08","17/01/2019 8:49:37 am","Complete","26","0","","","0","","4","0","","","3","","לא מבינה בזה כל כך ","","0","","","","","","","","","","","","","","1","4","","female","2","married","unemployed","3","Jew","","Religious","","נהריה"
"84","2019-01-17 01:45:19","17/01/2019 8:48:07 am","Complete","26","1","advance_public_rights","","0","","4","0","","","3","","","","0","","","","","","","","","","","","","","-99","5","","female","4","single","hired","1","Jew","","Traditional","","ירושלים"
"85","2019-01-17 01:46:14","17/01/2019 8:49:04 am","Complete","28","1","state_neglect","","0","","4","0","","","4","","","","0","","","","","","","","","","","","","","0","5","","female","4","single","student","4","Jew","","Secular","","כרמיאל"
"86","2019-01-17 01:49:12","17/01/2019 8:58:37 am","Complete","26","0","","","0","","5","0","","","-99","","","","0","","","","","","","","","","","","","","-99","5","","female","2","married","hired","1","Jew","","Traditional","","בית דגן"
"87","2019-01-17 01:53:25","17/01/2019 9:05:44 am","Complete","20","1","public_suit_individual_loss","","0","","4","0","","","3","","נייטרלית, לא מתעניינת יותר מדי בענייני החוק ","","0","","","","","","","","","","","","","","-99","5","","female","3","single","hired","3","Jew","","Secular","","קריית אונו"
"88","2019-01-17 02:01:43","17/01/2019 9:14:43 am","Complete","32","1","public_suit_individual_loss","","1","לא מזמן נגד תנובה. כל הצרכנים קיבלו החזר קטן","4","1","5","cash","1","","","לא נשמע לי הגיוני, זה יצמצם משמעוטית כמות הטביעות כי עכשיו לא ציבור יהיה הרבה יותר קשה להתחיל תהליך טביעה בכלל הסכומים האלה. זה פשוט חוצפה ופגיעה בזכויות של הציבור. אבל זה החוקים שממשלה הזאת חוקקת, אין מה להיות מופתע. חוקים נגד האזרחים","0","","","","","","","","","","","","","","1","5","","male","5","married","hired","3","Jew","","Secular","","באר יעקב"
"89","2019-01-17 02:02:24","17/01/2019 9:06:48 am","Complete","49","1","public_suit_individual_loss","","0","","5","0","","","3","","עוול לציבור, על אף שאם יהיו תביעות האגרה תתחלק בין כל התובעים","","0","","","","","","","","","","","","","","-99","5","","female","2","divorced_separated","hired","1","Jew","","Traditional","","רמת גן"
"90","2019-01-17 02:12:17","17/01/2019 9:16:54 am","Complete","31","1","public_suit_individual_loss","","1","שופרסל, פרטנר","5","1","8","cash","3","","כיוון שזה יקטין משמעותית את התביעות שיוגשו","","0","","","","","","","","","","","","","","1","4","","female","5","married","hired","4","Jew","","Traditional","","רחובות"
"91","2019-01-17 02:26:10","17/01/2019 12:43:21 pm","Complete","40","0","","","1","מטרנה","4","0","","","4","בכדי למנוע עומס מיותר","","","0","","","","","","","","","","","","","","-99","5","","female","4","married","hired","4","Jew","","Secular","","רעננה"
"92","2019-01-17 02:26:56","17/01/2019 9:33:31 am","Complete","47","1","lawyer_get_rich","","1","הוט","3","1","12","cheque","4","כי זה יגרום אולי לאנשים לחשוב פעמיים לפני הגשת תביעה ייצוגית, ואולי רק במקרים אמיתיים הם ישלמו את הכסף","","","0","","","","","","","","","","","","","","0","5","","male","4","single","self_employed","4","Jew","","Secular","","חיפה"
"93","2019-01-17 02:27:48","17/01/2019 9:30:12 am","Complete","23","1","public_suit_individual_loss","","0","","5","0","","","1","","","השתקת הציבור והאנשים הקטנים לטובת החברות הגדולות","0","","","","","","","","","","","","","","1","4","","female","2","single","student","2","Jew","","Secular","","רמת גן"
"94","2019-01-17 02:29:49","17/01/2019 9:37:17 am","Complete","23","1","public_suit_individual_loss","","1","תנובה","4","1","13","cash","4","ימנע תביעות מיותרות ושקריות","","","0","","","","","","","","","","","","","","1","5","","female","2","single","hired","3","Jew","","Secular","","בת ים"
"95","2019-01-17 02:31:37","17/01/2019 9:35:45 am","Complete","32","1","public_suit_individual_loss","","0","","5","0","","","5","מבורך","","","0","","","","","","","","","","","","","","-99","99","","female","3","married","hired","2","Jew","","Secular","","פרוד"
"96","2019-01-17 02:32:56","17/01/2019 9:58:11 am","Complete","21","0","","","0","","5","0","","","1","","","כי הוא נוגד את הרעיון הכללי של תובענה ציבורית שהיא לעזור לציבור החלש מול גוף או חברה חזקים יותר","1","","","","","","","","","","","","other","נמכר לי קורס שלא ידעתי מה הוא מכיל","-99","5","","female","2","single","hired","1","Jew","","Secular","","חולון"
"97","2019-01-17 02:32:18","17/01/2019 9:48:19 am","Complete","49","1","advance_public_rights","","1","תנובה","4","1","4","benefit_discount","2","","","אני לא חושבת שנכון לקבוע עלויות גבוהות כדי למנוע תביעות ייצוגיות הכולל ציבור רחב.","0","","","","","","","","","","","","","","-99","1","","female","3","married","hired","2","Jew","","Traditional","","בית דגן"
